RANK,PLAYER,POS,TEAM,GP,MPG,FG%,FGM,FGA,FT%,FTM,FTA,3PM,PTS,REB,AST,STL,BLK,TO,TOTAL
1,Joel Embiid,C,PHI,39,33.6,0.529,11.5,21.8,0.883,10.2,11.6,1.4,34.7,11,5.6,1.2,1.7,3.8,18.25
2,Nikola Jokic,C,DEN,79,34.6,0.583,10.4,17.9,0.818,4.5,5.5,1.1,26.4,12.4,9,1.4,0.9,3,14.69
3,Shai Gilgeous-Alexander,PG/SG,OKC,75,34,0.535,10.6,19.8,0.874,7.6,8.7,1.3,30.1,5.5,6.2,2,0.9,2.2,14.36
4,Anthony Davis,PF/C,LAL,76,35.5,0.556,9.4,16.9,0.816,5.5,6.8,0.4,24.7,12.6,3.5,1.2,2.3,2.1,13
5,Luka Doncic,PG,DAL,70,37.5,0.487,11.5,23.6,0.786,6.8,8.7,4.1,33.9,9.2,9.8,1.4,0.5,4,12.96
6,Victor Wembanyama,PF/C,SA,71,29.7,0.465,7.8,16.7,0.795,4.1,5.2,1.8,21.4,10.6,3.9,1.2,3.6,3.6,12.21
7,Kevin Durant,SF/PF,PHO,75,37.2,0.522,10,19.2,0.856,4.8,5.6,2.2,27.1,6.6,5,0.9,1.2,3.2,10
8,Donovan Mitchell,PG/SG,CLE,55,35.3,0.462,9.2,19.8,0.865,5,5.8,3.3,26.6,5.1,6.1,1.8,0.5,2.8,9.79
9,Kawhi Leonard,SG/SF/PF,LAC,68,34.3,0.525,9,17.1,0.884,3.7,4.2,2.1,23.7,6.1,3.6,1.6,0.9,1.8,9.78
10,Kyrie Irving,PG/SG,DAL,58,35,0.497,9.7,19.5,0.906,3.3,3.6,3,25.6,5,5.2,1.3,0.5,1.8,9
11,Tyrese Haliburton,PG/SG,IND,69,32.2,0.477,7.3,15.2,0.854,2.8,3.3,2.8,20.1,3.9,10.9,1.2,0.7,2.3,8.78
12,Devin Booker,PG/SG/SF,PHO,68,36,0.492,9.4,19.2,0.887,6,6.7,2.2,27.1,4.5,6.9,0.9,0.4,2.6,8.6
13,LeBron James,SF/PF,LAL,71,35.3,0.54,9.7,17.9,0.75,4.3,5.7,2.1,25.7,7.3,8.3,1.3,0.5,3.5,8.57
14,Jayson Tatum,SF/PF,BOS,74,35.7,0.471,9.1,19.3,0.832,5.6,6.7,3.1,26.9,8.1,4.9,1,0.6,2.5,8.14
15,Kristaps Porzingis,PF/C,BOS,57,29.6,0.516,6.8,13.2,0.857,4.5,5.3,1.9,20.1,7.2,2,0.7,1.9,1.6,8.04
16,Stephen Curry,PG/SG,GS,74,32.7,0.45,8.8,19.5,0.922,4,4.4,4.8,26.4,4.5,5.1,0.7,0.4,2.8,7.75
17,Paul George,SG/SF/PF,LAC,74,33.8,0.471,7.9,16.7,0.908,3.6,3.9,3.3,22.6,5.2,3.5,1.5,0.5,2.1,7.69
