RANK,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FGM,FGA,FT%,FTM,FTA,3PM,PTS,REB,AST,STL,BLK,TO,TOTAL
1,3.4,Victor Wembanyama,C,SA,70,31.1,0.473,8.8,18.6,0.802,4.5,5.6,2,24.1,11.6,4.4,1.4,4,3.4,14.08
2,1.9,Nikola Jokic,C,DEN,75,34.1,0.585,10.4,17.8,0.819,4.8,5.8,1.1,26.7,12.1,9,1.4,0.9,3,13.99
3,5.3,Shai Gilgeous-Alexander,PG,OKC,73,33.5,0.524,10.2,19.5,0.88,8.1,9.2,1.4,28.9,4.1,6.5,1.7,0.8,2.4,13.47
4,3,Luka Doncic,PG,DAL,68,36.8,0.491,11.3,23,0.792,7.6,9.7,4.1,34.4,9.3,9.9,1.4,0.5,3.8,13.08
5,8.8,Joel Embiid,C,PHI,53,32.8,0.518,9.4,18.2,0.871,9,10.3,1.3,29.2,10.1,4,1,1.5,3.5,12.2
6,17.2,Anthony Davis,PF/C,LAL,67,34.5,0.559,9.5,17,0.802,5.8,7.3,0.4,25.2,12.7,3.6,1.2,2.3,2.1,12.07
7,4.7,Giannis Antetokounmpo,PF/C,MIL,71,34.6,0.614,11.8,19.2,0.671,7,10.5,0.6,31.1,11.8,6.7,1.2,1.1,3.4,9.88
8,11.4,Tyrese Haliburton,PG/SG,IND,69,33.6,0.483,7.5,15.6,0.862,3.1,3.5,3,21.1,3.9,11.1,1.4,0.7,2.5,9.64
9,16.4,Trae Young,PG,ATL,72,35.2,0.432,8.4,19.5,0.877,7.8,8.9,3.4,28.1,2.9,10.8,1.2,0.2,4.2,8.76
10,7.3,Jayson Tatum,SF/PF,BOS,75,35.8,0.469,9.4,20.1,0.836,6.1,7.3,2.9,27.9,9,5.1,1.1,0.7,2.5,8.68
11,45.1,James Harden,PG/SG,LAC,68,34.5,0.438,6.5,14.8,0.871,4.7,5.3,3.0,22.4,6.1,10.4,1.1,0.7,2.9,8.47
12,15.7,Stephen Curry,PG,GS,68,31.4,0.469,8.8,18.7,0.918,4,4.4,4.8,26.4,4.5,5.3,0.8,0.4,2.8,8.27
